tripDate,tripCount,avgFare,avgTip,avgDurationSec,avgDistanceMiles,totalFares,totalTip,totalSeconds,totalMiles
01/2019,"1,213,529",$17.03,$1.67,773,3.37,"$20,670,705.62","$2,022,592.31","937,963,048","4,091,995.88"
02/2019,"1,312,782",$16.96,$1.74,810,3.41,"$22,270,971.54","$2,283,489.51","1,063,811,322","4,470,354.95"
03/2019,"1,515,772",$17.93,$1.77,831,3.55,"$27,174,670.39","$2,678,890.47","1,259,912,580","5,380,971.74"
04/2019,"1,458,362",$18.44,$1.90,889,3.80,"$26,896,485.69","$2,770,857.57","1,295,810,896","5,536,144.44"
05/2019,"1,532,337",$18.90,$1.98,967,3.95,"$28,965,926.78","$3,039,692.02","1,481,404,117","6,059,023.74"
06/2019,"1,491,272",$18.72,$1.96,967,3.88,"$27,922,727.73","$2,919,416.96","1,441,706,122","5,793,361.67"
07/2019,"1,319,285",$17.89,$1.78,933,3.68,"$23,601,264.95","$2,345,877.97","1,231,231,787","4,852,069.80"
08/2019,"1,344,673",$17.99,$1.81,925,3.71,"$24,191,681.90","$2,433,563.14","1,244,119,419","4,983,523.04"
09/2019,"1,335,504",$19.07,$1.98,962,3.97,"$25,468,468.50","$2,642,839.63","1,284,804,130","5,304,903.15"
10/2019,"1,449,433",$18.68,$1.99,960,3.90,"$27,081,423.90","$2,884,631.87","1,390,907,926","5,655,312.89"
11/2019,"1,247,105",$18.63,$1.85,908,3.61,"$23,232,801.13","$2,307,286.97","1,132,208,065","4,507,575.40"
12/2019,"1,257,311",$17.50,$1.67,838,3.29,"$22,001,339.56","$2,101,258.38","1,053,042,272","4,133,477.56"